inner_code;name;name_eng;adm_code;iata;icao
КСЛ;Комсомольск-на-Амуре;Komsomolsk Na Amure;ХБ;KXK;UHKK
КДН;Кондинское; ;ТЮ; ;USHK
КОИ;Конергино; ;ЧА; ; 
КША;Коноша; ;АГ; ; 
КШП;Коношаново; ;ИР; ; 
КСТ;Константиновск; ;РД; ; 
КПЬ;Копьево; ;ХЯ; ; 
КИЮ;Корлики; ;ТЮ; ; 
КОЧ;Коротчаево; ;ТЮ; ; 
КШЛ;Коршуново; ;ИР; ; 
КРЖ;Коряжма; ;АГ; ; 
КСЭ;Коса; ;ПМ; ; 
КОС;Кослан; ;КИ; ;UUYL
КЦО;Костино [ВСУ]; ;ИР; ; 
КИТ;Костино [КРС]; ;КЯ; ;UOTO
КСШ;Костомукша; ;КЛ; ;ULPM
КОР;Кострома;Kostroma;КФ;KMW;UUBA
КЮВ;Косью-Вом; ;КИ; ; 
КЬЛ;Котельнич; ;КП; ;USKO
КТП;Коткино; ;АГ; ;ULEK
КТС;Котлас;Kotlas;АГ;KSZ;ULKK
КОФ;Котово; ;ВГ; ; 
КУЭ;Котуй; ;КЯ; ; 
КЧЧ;Кочево; ;ПМ; ; 
КОШ;Кош-Агач; ;АЙ; ;UNBA
КШО;Кошки; ;СБ; ; 
КПВ;Крапивино; ; ; ; 
КСЖ;Краскино; ;ПР; ; 
КПН;Красная Поляна; ; ; ; 
КОЙ;Краснено; ;ЧА; ; 
КЙО;Красноармейское; ;СБ; ;UWWO
КНБ;Красноборск; ;АГ; ;ULKB
КИШ;Красновишерск; ;ПМ; ; 
КГЕ;Красногвардейское; ;БГ; ; 
КРР;Краснодар;Krasnodar;КД;KRR; 
КЕФ;Красное [КОТ]; ;АГ; ; 
КЕЭ;Красное [НРМ]; ;НЕ; ; 
КНК;Краснокаменск; ;ЧТ; ;UIAE
ККМ;Краснокамск; ;ПМ; ; 
КСО;Красноозерск; ;НБ; ; 
ККЬ;Красноселькуп; ;ТЮ; ;USDP
КСБ;Краснослободск; ;МД; ; 
КРУ;Красноуральск; ;СД; ; 
КУФ;Красноуфимск; ;СД; ;USSF
ККВ;Краснощеково; ;АЛ; ; 
КЯА;Красноярск;Krasnojarsk;КЯ;KJA; 
КЫГ;Красный Берег; ;ПМ; ; 
КСЫ;Красный Кут; ;СГ; ;UWSK
КОЬ;Красный Октябрь; ;СГ; ; 
КХЛ;Красный Холм; ;ТИ; ; 
КСЧ;Красный Чикой; ;ЧТ; ;UIAD
КСЯ;Красный Яр [ВСУ]; ;ЧТ; ; 
КРЯ;Красный Яр [ЗСУ]; ;ТЯ; ; 
КЕС;Крестовая; ;СФ; ; 
КФК;Крестовка; ;КИ; ; 
КРЦ;Крестцы; ;НГ; ; 
КЫЭ;Кресты; ;КЯ; ; 
КЧЦ;Кречевицы; ;НГ; ;ULLK
КЯЛ;Кривляк; ;КЯ; ;UNJD
КШР;Кривошеино; ;ТЯ; ; 
КТГ;Крутогорово; ;КЧ; ; 
КТЧ;Круторечка; ;СД; ; 
КВЮ;Крыловка; ;ОБ; ; 
КУР;Кудымкар; ;ПМ; ;USPK
КУЕ;Куеда; ;ПМ; ; 
КЦК;Кузнецк; ;ПЗ; ; 
КЧХ;Кузнечиха; ;ТГ; ; 
КНЬ;Кузомень [АРХ]; ;АГ; ; 
КМЬ;Кузомень [СЗУ]; ;МУ; ; 
КЗВ;Кузьмовка; ;КЯ; ;UNJE
КЙТ;Куйтун; ;ИР; ; 
КУА;Кукан; ;ХБ; ; 
КЛА;Кулар; ;СФ; ;UEBK
ККИ;Кулебаки; ;НЖ; ;UWGK
КЛО;Куликово; ;АГ; ; 
КЯУ;Кумертау; ;БШ; ; 
КУХ;Кумух; ;ДГ; ; 
КГУ;Кунгуртук; ;КЯ; ;UNYK
КПО;Купино; ;НБ; ; 
КУО;Курагино; ;КЯ; ;UNAR
КГН;Курган;Kurgan;КЭ;KRO;USUU
КГС;Курганинск; ;КД; ; 
КЕЙ;Курейка; ;КЯ; ;UOIK
КУЖ;Куржино; ;ТЯ; ; 
КИЖ;Куркино; ;ТЛ; ; 
ККШ;Курокша; ;ВЯ; ; 
КУЮ;Куролино; ;ТЯ; ; 
КУС;Курск;Kursk;КУ;URS;UUOK
КТШ;Куртамыш; ;КЭ; ; 
КМК;Курумкан; ;БР; ; 
КУЯ;Курья [КОМ]; ;КИ; ; 
КГЬ;Кускургуль; ;ТЮ; ; 
КУЫ;Кутана; ;СФ; ; 
КУУ;Кутлу-Букаш; ;ТГ; ; 
КПЮ;Кутопъеган; ;ТЮ; ; 
КХЙ;Кухтеринский; ;АУ; ; 
КУШ;Кушва; ;СД; ; 
КЮМ;Куюмба; ;КЯ; ; 
КЫЫ;Кызыл;Kyzyl;ТУ;KYZ;UNKY
КЗЖ;Кызыл-Мажалык; ;КЯ; ; 
КЫЕ;Кыкер; ;ЧТ; ; 
КЫР;Кыра; ;ЧТ; ;UIAK
КЫН;Кырен; ;БР; ; 
КЫС;Кысыл-Сыр; ;СФ; ;UENK
КЫТ;Кытманово; ;АЛ; ; 
КШИ;Кышик; ;ТЮ; ; 
КЫВ;Кыштовка; ;НБ; ;UNOA
КЯХ;Кяхта; ;БР; ; 
ЛАБ;Лабинск; ;КД; ; 
ЛБЖ;Лабожское; ;АГ; ; 
ЛАТ;Лабытнанги; ;ТЮ; ;USDL
ЛЗР;Лазарев; ;ХБ; ; 
ЛАЗ;Лазаревское; ;КД; ; 
ЛАО;Лазо; ;ПР; ; 
ЛАЙ;Лайтамак; ;ТЮ; ; 
ЛАЛ;Лальск; ;КП; ; 
ЛБР;Ламбас; ;АГ; ; 
ЛМТ;Ламутское; ;ЧА; ; 
ЛРЯ;Ларьяк; ;ТЮ; ; 
ЛСЧ;Ласточка; ;ПР; ; 
ЛХМ;Лахома; ;АГ; ; 
ЛЕБ;Лебедянь; ;ЛП; ; 
ЛЖЕ;Лебяжье; ; ; ; 
ЛТО;Лев Толстой; ;ЛП; ; 
ЛВК;Левково; ;АГ; ; 
ЛНВ;Ленево; ;КЯ; ;UNJV
ЛГР;Ленинградский; ;ЧА; ; 
ЛЕГ;Лениногорск; ;ТГ; ; 
ЛКУ;Ленинск-Кузнецкий; ;КЗ; ; 
ЛСК;Ленск; ;СФ; ;UERL
ЛОВ;Леово; ;КЯ; ; 
ЛЕС;Лесная; ;ПР; ; 
ЛСГ;Лесогорск; ;СЯ; ; 
ЛЕЗ;Летняя Золотица; ;АГ; ;ULBZ
ЛЕШ;Лешуконское; ;АГ; ;ULAL
ЛВН;Ливны; ;ОЛ; ; 
ЛКН;Ликино; ;СД; ; 
ЛИП;Липецк;Lipetsk;ЛП;LPK;UUOL
ЛСВ;Листвяги; ;ОЯ; ; 
ЛВЗ;Ловозеро; ;МУ; ;ULML
ЛПО;Лодейное Поле; ;ЛЕ; ;ULSL
ЛОК;Локосово; ;ТЮ; ; 
ЛЮГ;Лонг-Юган; ;ТЮ; ;USML
ЛПТ;Лопатково; ;СД; ; 
ЛПХ;Лопхари; ;ТЮ; ; 
ЛШГ;Лопшеньга; ;АГ; ;ULBL
ЛОР;Лорино; ;МГ; ; 
ЛБС;Лосиноборск; ;КЯ; ;UNJZ
ЛГТ;Луговатка; ;КЯ; ;UNJL
ЛГВ;Луговой; ;ТЮ; ;USHL
ЛУМ;Лукмос; ;РЯ; ; 
ЛУХ;Лух; ;ИВ; ;UUBH
ЛХТ;Луховицы; ;МС; ;UUMT
ЛЧГ;Лучегорск; ;ПР; ; 
ЛЫС;Лысьва; ;ПМ; ;USPL
ЛКА;Львовка; ;ТЯ; ; 
ЛОГ;Льгов; ;КУ; ; 
ЛЮН;Любань [СЗУ]; ;ЛЕ; ; 
ЛБМ;Любим; ;ЯР; ; 
ЛТИ;Любытино; ;НГ; ; 
ЛЮД;Людиново; ;КЖ; ; 
ЛЮП;Люк-Пай; ;ТЮ; ; 
ЛЯМ;Лямино; ;ТЮ; ; 
МДН;Магадан;Magadan;МГ;GDX; 
МГН;Маган; ;СФ; ;UEMM
МДЧ;Магдагачи;Magdagachi;АУ;GDG;UHBI
МГС;Магнитогорск;Magnitogorsk;ЧЛ;MQF;USCM
МОД;Мадаево; ;НЖ; ; 
МКП;Майкоп; ;АЫ; ;URKM
МЙС;Майск; ;ТЯ; ; 
МКЙ;Майский; ;АЙ; ; 
МЙК;Майский [ДВУ]; ;АУ; ;UHBM
МЙЙ;Майский [СВУ]; ;ЧА; ; 
МЙЕ;Майское; ;КЯ; ;UNJJ
МАК;Макарьев; ;КФ; ; 
МКЗ;Макзыр; ;ТЯ; ; 
МАВ;Маковское; ;КЯ; ;UNJI
МКИ;Максимовка; ;ПР; ; 
МБЧ;Малая Бича; ;ОЯ; ; 
МЛМ;Малая Кема; ;ПР; ; 
МЛН;Малиновка; ;ТЯ; ; 
МЛБ;Малка; ;КЧ; ;UHPR
МАЛ;Малмыж; ;КП; ; 
МЛЛ;Малый Атлым; ;ТЮ; ; 
МАМ;Мама; ;ИР; ;UIKM
МАШ;Мамадыш; ;ТГ; ; 
ММУ;Мамакан; ;ИР; ; 
МНЗ;Манзя; ;КЯ; ;UNJK
МИЛ;Манилы; ;КЧ; ; 
МАН;Мантурово; ;КФ; ; 
МРЛ;Марево; ;НГ; ;ULNM
МРЦ;Мариец; ;МИ; ; 
МИИ;Мариинск; ;КЗ; ; 
МРН;Мариинское; ;ХБ; ;UHNM
МИТ;Мари-Турек; ;МИ; ; 
МКО;Марково; ;ЧА; ;UHMO
МРК;Марково [УГЦ]; ;ИВ; ; 
МРП;Маркс; ;СГ; ; 
МКЛ;Мар-Кюель; ;СФ; ;UHNK
МТЫ;Мартыново; ;ИР; ; 
МХЯ;Марха; ;СФ; ; 
МЬН;Марьино; ;МИ; ; 
МЛЯ;Маслянино; ;НБ; ; 
МВК;Матвеевка; ;ОБ; ; 
МХЛ;Махачкала;Makhachkala;ДГ;MCX;URML
МАЧ;Мача; ;СФ; ; 
МШВ;Машаковка; ;КЯ; ;UNJM
МГИ;Мглин; ;БН; ; 
МЕГ;Мегион; ;ТЮ; ; 
МВЖ;Медвежка; ;КИ; ; 
МДЖ;Медвежье; ;ТЮ; ;USMD
МЕД;Медногорск; ;ОБ; ; 
МЖД;Междуреченск; ;КЗ; ; 
МДК;Междуречье; ;ТЮ; ;USHM
МЖВ;Межовка; ;НБ; ; 
МЗН;Мезень; ;АГ; ;ULAE
МЕЙ;Мейныпильгыно; ;ЧА; ; 
МЛХ;Мелехово; ;ВЛ; ; 
МЛЧ;Мельничное; ;ПР; ; 
МЗА;Менза; ;ЧТ; ; 
МЕК;Мензелинск; ;ТГ; ;UWKP
МЕШ;Мещура; ;КИ; ; 
МИЬ;Микунь; ;КИ; ;UURM
МЛР;Миллерово; ;РД; ;URRI
МЛК;Мильково; ;КЧ; ;UHPM
МРВ;Минеральные Воды;Mineralnye Vody;СП;MRV;URMM
МНУ;Минусинск; ;КЯ; ;UNAM
МИР;Мирный;Mirnyj;СФ;MJZ;UERR
МИО;Мироново; ;ИР; ; 
МГА;Мирюга; ;КЯ; ; 
МТФ;Митрофаново; ;КИ; ; 
МХЙ;Михайловка; ;АЛ; ; 
МГЧ;Могоча; ;ЧТ; ;UIAM
МЖН;Молодежный; ;ТЯ; ; 
МЛО;Молоково; ;ТИ; ; 
МОЧ;Молчаново; ;ТЯ; ;UNLO
МОМ;Мома; ;СФ; ;UEMA
МРЩ;Монастырщина; ;СЛ; ; 
МОЗ;Морозовск; ;РД; ;URRM
МВЛ;Мосеево; ;АГ; ; 
МОВ;Москва;Moscow;МВ;MOW; 
МСЙ;Мостовской; ;КД; ; 
МТГ;Мотыгино; ;КЯ; ;UNIM
МОЮ;МОЮ - код для пультов Сирены-2; ; ; ; 
МСУ;Мрас-Су; ;КЗ; ; 
МСЫ;Мугур-Аксы; ;ТУ; ; 
МУЖ;Мужи; ;ТЮ; ; 
МДУ;Мундуйское; ; ; ;UOTM
МУН;Мурманск;Murmansk;МУ;MMK;ULMM
МУР;Муром; ;ВЛ; ; 
МЦЕ;Муромцево; ;ОЯ; ; 
МУС;Муслюмово; ;ТГ; ;UWKO
МЙМ;Мутный Материк; ;КИ; ; 
МРЙ;Муторай; ;КЯ; ;UNHM
МУХ;Мухен; ;ХБ; ; 
МУЯ;Муя; ;ИР; ; 
МЫЛ;Мыльджино; ;ТЯ; ; 
МКМ;Мыс Каменный; ;ТЮ; ;USDK
МКЫ;Мыс Косистый; ;КЯ; ;UOHK
ПИЦ;Мыс Пицунда; ;КД; ; 
ЧЛЮ;Мыс Челюскин; ;КЯ; ;UODL
МШД;Мыс Шмидта; ;ЧА; ;UHMI
МЫШ;Мышкин; ;ЯР; ;UUMN
МЧК;Мячково; ;МС; ;UUBM
НЖЧ;Набережные Челны;Nabereznye Chelny;ТГ;NBC; 
НГС;Нагорск; ;КП; ;USPN
НДМ;Надым;Nadym;ТЮ;NYM;USMM
НАЗ;Назарово; ;КЯ; ;УНЯН
НЗВ;Назимово; ;КЯ; ;UNJN
ИНШ;Назрань; ;ИН; ;URMS
НБА;Найба; ;СФ; ; 
НКЫ;Наканно; ;ИР; ; 
НЧК;Нальчик;Nalchik;КБ;NAL;URMN
НАМ;Намск; ;КИ; ; 
НМЫ;Намы; ;СФ; ; 
НПО;Напалково; ;ТЮ; ;USDN
НПС;Напас; ;ТЯ; ; 
НЙВ;Наратай; ;ИР; ;UIBN
НУК;Наруксово; ;НЖ; ; 
НЫЫ;Нарыкары; ;ТЮ; ; 
ННР;Нарьян-Мар;Naryan-Mar;АГ;NNM;ULAM
НХД;Находка; ;ПР; ; 
НГТ;Неготка; ;ТЯ; ; 
НЕД;Недокура; ;КЯ; ;UNHN
НВШ;Нейво-Шайтанский; ;СД; ; 
НЛН;Нелькан; ;ХБ; ;UHNX
НЛА;Нелькан [ЯКТ]; ;СФ; ; 
НЕП;Непа; ;ИР; ;UIKN
НИЦ;Нерица; ;КИ; ; 
НЗР;Нерха; ;ИР; ; 
НЕЧ;Нерчинск; ;ЧТ; ;UIAN
НЗА;Нерчинский Завод; ;ЧТ; ; 
НРГ;Нерюнгри;Neryungri;СФ;NER;UELL
НЕС;Несь; ;АГ; ;ULJN
НФК;Нефтекамск;Neftekamsk;БШ;NEF;UWUF
НФУ;Нефтекумск; ;СП; ; 
НЮГ;Нефтеюганск;Nefteyugansk;ТЮ;NFG;USRN
НХВ;Нехаевский; ;ВГ; ; 
НЕШ;Нешкан; ;ЧА; ; 
НЖГ;Нижнеангарск; ;БР; ;UIUN
НЖВ;Нижневартовск;Nizhnevartovsk;ТЮ;NJC;USNN
НЖК;Нижнекамск; ;ТГ; ;UWKE
НЖБ;Нижнетамбовское; ;ХБ; ; 
НЖД;Нижнеудинск; ;ИР; ;UINN
НЖШ;Нижнешадрино; ;КЯ; ; 
НЖЯ;Нижнеянск; ;СФ; ;UEBN
НЖП;Нижние Промги; ;ХБ; ; 
НЛО;Нижний Ломов; ;ПЗ; ; 
НЖС;Нижний Новгород;Nizhniy Novgorod;НЖ;GOJ;UWGG
НЖТ;Нижний Тагил; ;СД; ; 
НЧИ;Нижний Чир; ;ВГ; ; 
НЯВ;Нижняя Вочь; ;КИ; ; 
НПШ;Нижняя Пеша; ;АГ; ;ULAV
НИТ;Нижняя Тавда; ;ТЮ; ;USTN
НКЬ;Никель; ;МУ; ;ULMI
НИА;Николаевка; ; ; ; 
НЛК;Николаевск-На-Амуре; ;ХБ; ;UHNN
НЛЬ;Никольск [ПРУ]; ;СБ; ; 
НКО;Никольск [СЗУ]; ;ВЯ; ;ULWN
НИК;Никольское; ;КЧ; ;UHPX
НАЯ;Новая; ;КЯ; ;UOHN
НИГ;Новая Игирма; ;ИР; ; 
НГК;Новоаганск; ;ТЮ; ; 
НАГ;Ново-Ангарск; ;КЯ; ;UNIN
НБЛ;Новобелокатай; ;БШ; ; 
НБИ;Новобирилюссы; ;КЯ; ;УНЯЛ
НБУ;Новобурейский; ;АУ; ; 
НВК;Новокузнецк;Novokuznetsk;КЗ;NOZ;UNWW
НКУ;Ново-Кулаково; ;КЯ; ;UNJO
НУВ;Новокуровка; ;ХБ; ; 
НВМ;Новомосковск; ;ТЛ; ; 
НПР;Новопокровка; ;ПР; ; 
НВР;Новороссийск;Novorossijsk;КД;NOI;URKN
НРЫ;Новорыбное; ;КЯ; ;UOHR
НСЛ;Новоселово [КРС]; ;КЯ; ; 
НВС;Новоселово [УРЛ]; ;СД; ; 
ОВБ;Новосибирск;Novosibirsk;НБ; ; 
НСИ;Новосиль; ;ОЛ; ; 
НСП;Новоспасское; ;УЛ; ; 
НРЦ;Новотроицкое; ;НЖ; ; 
НУЗ;Новоузенск; ;СГ; ; 
НЧП;Ново-Чаплино; ;ЧА; ; 
НШШ;Новошешминск; ;ТГ; ; 
НЯР;Ново-Ярцево; ;КЯ; ; 
НБЫ;Новые Бурасы; ;СГ; ; 
НЛГ;Новые Лангры; ;СЯ; ; 
НАШ;Новый Анаш; ; ; ; 
НОР;Новый Бор; ;КИ; ;UUYN
НЫВ;Новый Васюган; ;ТЯ; ;UNLW
НГД;Новый Городок; ;КЯ; ;UNJR
НПТ;Новый Порт; ;ТЮ; ;USDW
НТЗ;Новый Тевриз; ;ТЯ; ; 
НУР;Новый Уренгой;Novy Urengoy;ТЮ;NUX;USMU
НОГ;Ногинск; ;КЯ; ;UOTN
НГЛ;Ноглики; ;СЯ; ;UHSN
НБР;Нонбург; ;КИ; ; 
НРЯ;Нори; ;ТЮ; ; 
НРС;Норильск;Norilsk;КЯ;NSK; 
НСФ;Носок; ;КЯ; ;UOOS
НОЯ;Ноябрьск;Nojabrxsk;ТЮ;NOJ;USRO
НУМ;Нумто; ;ТЮ; ; 
НУГ;Нунлигран; ;ЧА; ; 
НРТ;Нурлат; ;ТГ; ;UWWL
НУТ;Нутепельмен; ;ЧА; ; 
НЫД;Ныда; ;ТЮ; ;USMA
НРБ;Ныроб; ;ПМ; ;USPO
НЮК;Нюксеница; ;ВЯ; ;ULWS
НЮМ;Нюмыд; ;КИ; ; 
НЮР;Нюрба; ;СФ; ;UENN
НЮХ;Нюхча; ;АГ; ; 
НЯГ;Нягань; ;ТЮ; ;USHN
НЯК;Няксимволь; ;ТЮ; ; 
НЯЛ;Нялино; ;ТЮ; ; 
НЯШ;Няшабож; ;КИ; ; 
ОВЛ;О Врангеля; ;МГ; ; 
ОБЧ;Обьячево; ;КИ; ; 
ОВГ;Овгорт; ;ТЮ; ; 
ОГО;Огоджа; ;АУ; ; 
ОЕЙ;Оз. Ессей; ;КЯ; ; 
ОЗР;Озерная; ;КЧ; ;УХПЮ
ОКЛ;Озерные Ключи; ;ПР; ; 
ОЗЙ;Озерный; ;ИР; ; 
ОЗЧ;Озинки; ;СГ; ; 
ОМК;Оймякон; ;СФ; ;UEMJ
ОКА;Ока; ;БР; ; 
ОЛД;Оклан; ;КЧ; ; 
ОКИ;Оксино; ;АГ; ;ULEO
ОЯБ;Октябрьск; ;ИР; ; 
ОБР;Октябрьский [АРХ]; ;АГ; ; 
ОКТ;Октябрьский [БАЛ];Oktiabrskij;БШ;OKT;UWUK
ОБК;Октябрьский [ДВУ]; ;АУ; ;UHBO
ОТЯ;Октябрьское; ;ТЮ; ;USHO
ОКУ;Окуловка; ;НГ; ; 
ОУН;Окунево; ;КИ; ; 
ОЛК;Олекминск; ;СФ; ;UEMO
ОЛМ;Олема; ;АГ; ;ULJO
ОЛН;Оленек; ;СФ; ;UERO
ОЛЬ;Ольга; ;ПР; ; 
ОЬХ;Ольховка; ;ПМ; ; 
ОМА;Ома; ;АГ; ;ULJM
ООЛ;Омолон; ;ЧА; ;UHMN
ОМС;Омск;Omsk;ОЯ;OMS;UNOO
ОСУ;Омсукчан; ;МГ; ;UHMF
ОНА;Онега; ;АГ; ;ULAO
ОЖК;Орджоникидзе; ;КЯ; ; 
ОЕЛ;Орел;Orel;ОЛ;OEL;UUOR
ОЧЛ;Орель Чля; ;ХБ; ; 
ОНГ;Оренбург;Orenburg;ОБ;REN;UWOO
ОРЛ;Орлик; ;БР; ; 
ОЛГ;Орлинга; ;ИР; ; 
ОСК;Орск;Orsk;ОБ;OSW;UWOR
ОРТ;Орто-Нахара; ;СФ; ; 
ОСА;Оса; ;ИР; ; 
ОМЫ;Осиновый Мыс; ;КЯ; ;UNJS
ОСИ;Осипово; ;ТЯ; ; 
ОКБ;Оскоба; ;КЯ; ; 
ОСО;Оссора; ;КЧ; ;UHPD
ЧЧН;Остров Чечень; ;ДГ; ; 
ОСГ;Островное; ;ЧА; ; 
ОЦЫ;Островцы; ;ПС; ; 
ОСЬ;Оськино; ;ИР; ; 
ОСЯ;Осяткино; ;АГ; ; 
ОТД;Отрадная; ;КД; ; 
ОТЖ;Отрожное; ;ЧА; ; 
ОХА;Оха; ;СЯ; ;UHSH
ОХТ;Охотск;Okhotsk;ХБ;OHO;UHOO
ОХЬ;Охтеурье; ;ТЮ; ; 
ОША;Ошарово; ;КЯ; ; 
ПВВ;Павловск; ;ВЖ; ; 
ПАН;Палана; ;КЧ; ;UHPL
ПЛС;Палласовка; ;ВГ; ; 
ПАЛ;Пальяново; ;ТЮ; ; 
ПНЕ;Панаевск; ;ТЮ; ; 
ПШХ;Панкрушиха; ;АЛ; ; 
ПРБ;Парабель; ;ТЯ; ;UNLP
ПАГ;Параньга; ;МИ; ; 
ПБГ;Парбиг; ;ТЯ; ; 
ПАЕ;Парень; ;КЧ; ; 
ПАЧ;Пахачи; ;КЧ; ;UHPA
ПЕВ;Певек;Pevek;ЧА;PWE;UHMP
ПЛД;Пеледуй; ;СФ; ; 
ПНА;Пенза;Penza;ПЗ;PEZ;UWPP
ПВР;Первомайка; ;ТЮ; ; 
ПРС;Первомайск [ВСУ]; ;ЧТ; ; 
ПВС;Первомайск [КРС]; ;КЯ; ;UNIG
ПКЙ;Первомайский; ;ОБ; ; 
ПВН;Перевесинка; ; ; ;UWSR
ПВЗ;Перевоз; ;ИР; ; 
ПГЕ;Перегребное; ;ТЮ; ; 
ПЕЛ;Перелюб; ;СГ; ;UWWA
ПРМ;Пермь;Perm;ПМ;PEE; 
ПТК;Пертоминск; ;АГ; ; 
ПТВ;Пестово; ;НГ; ; 
ПЕТ;Петровск; ;СГ; ; 
ПТЗ;Петрозаводск;Petrozavodsk;КЛ;PES; 
ПРП;Петропавловка [ВСУ]; ;БР; ; 
ПРЛ;Петропавловск-Камчатский;Petropavlovsk-Kamchatsky;КЧ;PKC;UHPP
ППВ;Петропавловское; ;АЛ; ; 
ПРУ;Петрунь; ;КИ; ; 
ПЧР;Печора;Pechora;КИ;PEX;UUYP
ПИЖ;Пижанка; ;КП; ; 
ПИЛ;Пильва; ;ПМ; ; 
ПНГ;Пинега; ;АГ; ;ULAI
ПИН;Пионерный; ;ТЯ; ;UNSP
ПНС;Пионерский; ;ТЮ; ; 
ПРЙ;Пиринемь; ;АГ; ; 
ПИР;Пировское; ;КЯ; ;UNIO
ПГО;Пит-Городок; ;КЯ; ;UNID
ПТЕ;Пителино; ;РЯ; ; 
ПИЕ;Питерка; ;СГ; ; 
ПТЛ;Питляр; ;ТЮ; ; 
ПХВ;Пихтовка; ;НБ; ; 
ПАС;Пласт; ;ЧЛ; ; 
ПЛА;Пластун; ;ПР; ;UHWP
ПБЕ;Победа; ;ХБ; ;UHHJ
ПГР;Погар; ;БН; ; 
ПНЧ;Пограничный; ;ПР; ; 
ПГЫ;Погындино; ;ЧА; ; 
ПДЛ;Подволошино; ;ИР; ; 
ПОД;Подгорное; ;ТЯ; ; 
ПТС;Подкаменная Тунгуска; ;КЯ; ;UNIP
ПДС;Подтесово; ;КЯ; ; 
ПОЖ;Пожва; ;ПМ; ; 
ПОЙ;Пойковский; ;ТЮ; ; 
ПКВ;Покровск; ;СФ; ; 
ПУР;Покур; ;ТЮ; ; 
ПГУ;Полигус; ;КЯ; ;UNJP
ПОС;Полины Осипенко; ;ХБ; ;UHHP
ПЛН;Полноват; ;ТЮ; ; 
ПЛР;Полярный [СВУ]; ;ЧА; ; 
ПЛЯ;Полярный [ЯКТ];Polyarnyj;СФ;PYJ;UERP
ПНЛ;Понил; ;СД; ; 
ПНР;Пономаревка [ЗСУ]; ;НБ; ; 
ПМР;Пономаревка [ПРУ]; ;ОБ; ; 
ПАЙ;Поронайск; ;СЯ; ; 
ПОА;Потапово; ;КЯ; ;UOOB
ПРЕ;Предивинск; ;КЯ; ; 
ПЖЕ;Преображение; ;ПР; ; 
ПКА;Преображенка [КИРЕНСК]; ;ИР; ;UIKP
ПБЖ;Преображенка [ЧИТА]; ;ЧТ; ; 
ПОЯ;Претория; ;ОБ; ; 
ПРГ;Приаргунск; ;ЧТ; ;UIAP
ПБЙ;Прибойный; ;ИР; ; 
ПАХ;Приморско-Ахтарск; ;КД; ; 
ППО;Приполярный; ;ТЮ; ; 
ПРТ;Приуральский; ;КИ; ; 
ПУЛ;Приуральское; ;КИ; ; 
ПРО;Прокопьевск; ;КЗ; ; 
ПРН;Проспихино; ;КЯ; ; 
ПСБ;Псебай; ;КД; ; 
ПСК;Псков;Pskov;ПС;PKV;ULOO
ПГЧ;Пугачев; ;СГ; ;UWSP
ПУГ;Пуг-Юг; ;ТЮ; ; 
ПДН;Пудино; ;ТЯ; ; 
ПДЖ;Пудож; ;КЛ; ;ULPA
ПУИ;Пуир; ;ХБ; ; 
ПКС;Пуксинка; ;СД; ; 
ПУМ;Пурнема; ;АГ; ; 
ПУО;Пуровск; ;ТЮ; ; 
ПЧЖ;Пучеж; ;ИВ; ; 
ПЧГ;Пучуга; ;АГ; ; 
ПШК;Пушкино [ПРУ]; ; ; ; 
ПШГ;Пушкинские Горы; ;ПС; ; 
ПЫР;Пырьях; ;ТЮ; ; 
ПЫС;Пысса; ;КИ; ; 
ПЯМ;Пяльма; ;КЛ; ; 
ПТГ;Пятигорск; ;СП; ;URMP
РЩВ;Радищево; ;УЛ; ; 
РАД;Радужный;Raduzhnyi;ТЮ;RAT;USNR
РЗД;Раздольное; ; ; ; 
РЧХ;Райчихинск; ;АУ; ; 
РНЦ;Раменское; ;МС; ;UUBW
РКД;Раскильдино; ;ЧУ; ; 
РСУ;Рассвет; ; ; ; 
РСЯ;Рассоха; ;МГ; ; 
РХИ;Рассохи; ;АГ; ; 
РМД;Ремда; ;ПС; ; 
РЕМ;Ремонтное; ;РД; ;URRE
УЧН;Реткучи; ;ЧА; ; 
РНЬ;Ровеньки; ;БГ; ; 
РОД;Родина; ; ; ; 
РДН;Родино; ;АЛ; ; 
РОЖ;Рожково; ;КЯ; ; 
РЛЮ;Роза Люксембург; ; ; ; 
РМЯ;Роман; ; ; ; 
РМУ;Романовка [ВСУ]; ;БР; ; 
РМФ;Романовка [КРС]; ;КЯ; ; 
РМН;Романовка [ПРУ]; ;СГ; ; 
РМЗ;Романово; ;АЛ; ; 
РМЮ;Романовская; ;РД; ; 
РМЫ;Ромны; ;АУ; ; 
РОТ;Рослятино; ;ВЯ; ; 
РСШ;Россошь; ;ВЖ; ; 
РОВ;Ростов-на-Дону;Rostov;РД;ROV;URRR
РТЛ;Ротислово; ; ; ; 
РОЧ;Рочегда; ;АГ; ; 
РОЩ;Рощино; ;ПР; ; 
РУБ;Рубино; ;КЯ; ; 
РБЦ;Рубцовск; ;АЛ; ;UNBR
РДГ;Рудногорск; ;ИР; ; 
РУД;Рудня; ;ВГ; ; 
РУС;Русиново; ;ПМ; ; 
РШО;Русские Шои; ;МИ; ; 
РУК;Русскинские; ;ТЮ; ; 
РУЧ;Ручьи; ;ПС; ;ULBR
РЧИ;Ручьи [АРХ]; ;АГ; ; 
РБН;Рыбинск;Rybinsk;ЯР;RYB;UUBK
РЫК;Рыбновск; ;СЯ; ; 
